detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch1_amplitude,ch1_relevant,ch2_amplitude,ch2_relevant,ch3_amplitude,ch3_relevant,ch4_amplitude,ch4_relevant,ch5_amplitude,ch5_relevant,ch6_amplitude,ch6_relevant,ch7_amplitude,ch7_relevant
0,4289,2.1445,healthy,1,15.9548982259151,True,5.719230318359032,True,7.831337579768231,True,108.72258431907495,False,15.781375483838884,False,1.3681608171606383,False,18.627634490473095,False
1,89705,44.8525,healthy,1,33.67181421886308,True,88.89348890795853,True,15.90949809873278,True,102.37310129899736,False,36.593021526654056,False,0.928601314593925,False,17.931923295046552,False
2,98812,49.406,healthy,1,46.075414624217416,True,129.13209130184322,True,38.381620911846966,True,105.51168222252005,False,41.965896126658265,False,0.7789133206541383,False,19.68931500553834,False
3,103919,51.9595,healthy,1,41.89522946370551,True,156.73658437455393,True,224.97334267502197,True,103.44237709971902,False,40.60816492728816,False,1.0166702932323448,False,16.14658572188223,False
4,109304,54.652,healthy,1,34.5535221369571,True,99.83456971422927,True,361.5773146312168,True,72.32000646507562,False,39.82576585693171,False,0.7610956136415901,False,15.209426720101163,False
5,120649,60.3245,healthy,1,33.753119167228135,True,740.5993874686474,True,459.85817713664153,True,65.38388377979898,False,38.27856898470645,False,0.9792821795112485,False,14.608204776316235,False
6,131733,65.8665,healthy,1,43.9099542765138,True,614.4503331537074,True,518.4246681236282,True,131.07535261855918,False,39.0080114831456,False,1.232444524655851,False,15.881121991847284,False
7,137741,68.8705,healthy,1,9.468065116481856,True,26.745909993942384,True,4.054376091725327,True,102.51102736261089,False,8.455390099074592,False,1.410082521394508,False,4.393867159745385,False
8,149568,74.784,healthy,1,23.421286023544823,True,10.105693876967846,True,151.6016743833893,True,308.14490990094214,False,10.131878168832158,False,1.1100359658213554,False,13.606937545004758,False
9,155528,77.764,healthy,1,108.85407696209361,True,37.113728774843956,True,171.72399542043325,True,342.7111536975179,False,3.33150246609332,False,0.823464643635638,False,5.0294210240499035,False
10,189060,94.53,healthy,1,70.72846916852518,True,9.969309992404082,True,26.75786724878072,True,173.22533798222574,False,8.901362961114991,False,1.0980443247363245,False,5.221049128428474,False
11,216516,108.258,healthy,1,68.60468496286882,True,20.595855328051673,True,143.68453673375936,True,232.55484396660077,False,11.850151723727553,False,0.9337141260234075,False,53.695081849083905,False
12,294748,147.374,healthy,1,19.794704825484672,True,6.440702910310028,True,18.86748802530923,True,128.07487473356173,False,8.601460457377877,False,1.1814895340346148,False,2.3161031915023047,False
13,302154,151.077,healthy,1,112.73964400798391,True,10.741318764552233,True,85.36388599163627,True,146.75475497535388,False,5.716298245050606,False,0.9154047498748256,False,5.035065544292055,False
14,305714,152.857,healthy,1,113.0956677735528,True,10.47947895562083,True,157.95526932027764,True,74.25919303002419,False,6.204136113768566,False,0.8830340847942958,False,5.9937625425724885,False
15,321693,160.8465,healthy,1,30.509336054769193,True,42.47440923715175,True,6.851592907872334,True,130.46555808669336,False,33.013179453689915,False,0.9388849367430319,False,14.963017735529018,False
16,326903,163.4515,healthy,1,30.700194321693676,True,60.01835354312285,True,213.2912882412407,True,94.06504975937676,False,35.81362764055369,False,0.9163818482605477,False,15.99872126087039,False
17,331166,165.583,healthy,1,30.132385360171938,True,47.589545441542356,True,414.6887964634029,True,117.6353686570196,False,34.89572605950503,False,0.957229186999391,False,15.611019719534205,False
18,350625,175.3125,healthy,1,37.442995330217855,True,452.21220220523907,True,345.18647812550034,True,93.51625552632532,False,38.12124763569439,False,1.1391432748755006,False,16.887506022361137,False
19,356815,178.4075,healthy,1,32.060648476848684,True,40.54171144215175,True,6.126283431051409,True,62.78583197304495,False,35.23599377795746,False,0.9695292062898273,False,16.850819879732306,False
20,361379,180.6895,healthy,1,33.8711299030601,True,616.0951246534419,True,166.0912320526516,True,104.13596620563969,False,35.346166263556086,False,0.7572884394531313,False,13.833477780212306,False
