detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch2_amplitude,ch2_relevant,ch4_amplitude,ch4_relevant,ch9_amplitude,ch9_relevant,ch12_amplitude,ch12_relevant,ch13_amplitude,ch13_relevant,ch14_amplitude,ch14_relevant
0,13536,6.768,healthy,2,17.6023327419395,True,6.317791725645039,True,8.916191896070035,False,7.695420563345525,True,1.227404487687501,False,1.0939925963563453,False
1,18784,9.392,healthy,2,5.334810225473359,True,10.517215266538953,True,6.249050574676775,False,5.842956886537516,True,1.0827071690628738,False,1.1836502622587521,False
2,47771,23.8855,healthy,2,8.676201548972879,True,9.702466051388022,True,10.168046996505387,False,5.262978993733261,True,0.7371869688693106,False,1.1290824830710857,False
3,52312,26.156,healthy,2,9.028377328399836,True,11.548052425649882,True,6.050391177751194,False,6.489213171280364,True,1.2127361645128925,False,0.894382181232702,False
4,74123,37.0615,healthy,2,171.76738582877564,True,22.79921206936792,True,37.513913082254405,False,66.88550992545802,True,1.0743002043359824,False,1.0604310844039653,False
5,132596,66.298,healthy,2,10.868014591739703,True,7.481491689613691,True,7.429900678652734,False,4.5100743409785355,True,1.3021389932858884,False,1.2520727970250416,False
6,145009,72.5045,healthy,2,12.54155210947824,True,9.881974619578482,True,6.815317279923918,False,5.208641242183909,True,0.8839846940938656,False,1.0454063305443984,False
7,167204,83.602,healthy,2,21.76847660330482,True,7.54148974425328,True,7.586051573192849,False,8.601466339598542,True,1.0028970679083664,False,1.0028668883499594,False
8,196259,98.1295,healthy,2,13.816237649308128,True,8.393694869105534,True,3.504714214072578,False,6.2740800683032605,True,1.0739627340098694,False,0.9778869205083939,False
9,218300,109.15,healthy,2,15.633659914722445,True,32.079602068905196,True,5.999961577688998,False,6.5412001461071,True,1.145621833455906,False,0.7407307565234029,False
10,228152,114.076,healthy,2,6.163885668706824,True,9.399042406647826,True,9.080351315130606,False,4.29239432131295,True,1.0923696629185342,False,0.8850911406657941,False
11,234683,117.3415,healthy,2,19.856332017873534,True,13.267253699339257,True,6.055160139193381,False,11.075171215813029,True,1.6673826596277217,False,0.9035392079994696,False
12,290844,145.422,healthy,2,24.04201321647613,True,37.40400677869886,True,8.285544223402468,False,12.855891500476694,True,1.0650371510939247,False,1.0587133772282242,False
13,355465,177.7325,healthy,2,15.216173839940375,True,7.256993023125866,True,9.246123752305072,False,7.784687549342149,True,1.309572380170886,False,1.1968375194799887,False
14,369236,184.618,healthy,2,14.744921825352916,True,6.171109393624783,True,6.646913604508723,False,8.141999403413731,True,0.6193603409813455,False,1.176232418413031,False
15,390002,195.001,healthy,2,15.211818189292885,True,7.967696535069264,True,6.4240821853025265,False,6.726598852010801,True,1.3195543616061256,False,1.3160895452129342,False
16,400525,200.2625,healthy,2,8.992248693693497,True,39.55559082647359,True,3.7511690812566636,False,7.271617945824661,True,1.096855331337617,False,1.0059073290185339,False
17,407140,203.57,healthy,2,15.039924656853396,True,36.75667211112351,True,5.438375845250079,False,11.179476111660133,True,1.2873722561050376,False,1.0893821679057187,False
18,411456,205.728,healthy,2,23.713668185772022,True,28.712963823874986,True,3.4714713409809264,False,11.939204096698035,True,1.1020507913833675,False,1.2664255677393421,False
19,416744,208.372,healthy,2,17.322718476561796,True,15.802047522122102,True,5.10817803385196,False,6.437552929235205,True,0.8360295196804755,False,1.0337995281151369,False
20,425243,212.6215,healthy,2,7.973837111980997,True,7.354000942347078,True,5.736384451652033,False,8.238170782810574,True,0.7875298657887377,False,1.0310190420860825,False
21,429157,214.5785,healthy,2,15.545959705234068,True,8.080265745383315,True,9.627956498148569,False,9.545381711734777,True,1.3949120905104833,False,0.9172615995377094,False
22,469830,234.915,healthy,2,15.682423593848878,True,11.480573108649075,True,6.825190471879638,False,6.20862408357991,True,0.8949791446859796,False,1.1376187640411586,False
23,484554,242.277,healthy,2,17.708814341950077,True,7.218429357490827,True,7.058056668333666,False,10.42288664805832,True,0.8799351911821802,False,0.9114926726715096,False
24,490429,245.2145,healthy,2,17.916030702974282,True,5.139233414080207,True,5.551611753424229,False,7.010545624397206,True,1.2075129692748972,False,1.0675518208227621,False
25,513386,256.693,healthy,2,20.28451933545099,True,8.468078229753154,True,5.003123661611965,False,7.049599244458275,True,0.7090864226106506,False,1.535938523646378,False
26,546495,273.2475,healthy,2,19.2509256438625,True,15.563551644449504,True,9.915734769099437,False,18.56311306437461,True,0.9566363043537522,False,0.9832663481782877,False
27,554070,277.035,healthy,2,18.920804607028078,True,7.97291166098471,True,6.956370289287287,False,12.166101073703162,True,0.9402277758873421,False,0.9251040560431336,False
28,561185,280.5925,healthy,2,15.30583260786036,True,10.064277481520858,True,9.351414034874544,False,32.77266444243425,True,0.9977989147073795,False,0.8267116406950326,False
29,563571,281.7855,healthy,2,8.682281315717157,True,6.724400958896765,True,4.466846720338557,False,10.723772788575284,True,1.1217143199561912,False,0.6636504662072539,False
30,568793,284.3965,healthy,2,6.745308602940428,True,6.098142929222815,True,4.620160579923851,False,7.507992959742814,True,0.8786366959634876,False,0.8476031936730652,False
31,572370,286.185,healthy,2,13.414242175796227,True,17.127783091468533,True,6.194659749784363,False,16.61833627271211,True,1.0758157219605122,False,0.8394460581239456,False
32,590126,295.063,healthy,2,9.647051645472883,True,8.609461188975361,True,7.370444544663602,False,4.95434605563947,True,1.1358511329670606,False,0.9550526640300107,False
33,597479,298.7395,healthy,2,12.952454915240118,True,23.353169287409212,True,5.968849475598212,False,4.6836189417946565,True,1.5980408524491536,False,1.0450855023103414,False
34,602866,301.433,healthy,2,9.057682096615453,True,65.37959874573829,True,5.8201353322618266,False,5.3829218054538055,True,0.7523945633442559,False,1.5594123468273235,False
35,607134,303.567,healthy,2,9.855445970838197,True,107.26018673629926,True,6.3891769207326,False,5.39385068903545,True,0.9524932012826808,False,0.9544849381478069,False
36,617464,308.732,healthy,2,11.969880171549875,True,98.19935372395557,True,5.821139844942105,False,6.401572999350485,True,0.9940968795561198,False,0.8616427011454324,False
37,623511,311.7555,healthy,2,9.84713965329358,True,38.01579409079493,True,9.21679799931205,False,5.619734038252247,True,0.917201508843706,False,1.0077496751466888,False
38,635156,317.578,healthy,2,14.65291407780757,True,47.636483494113335,True,6.980197282250473,False,8.301985719881197,True,1.4596446404412773,False,1.3158805773616566,False
39,640029,320.0145,healthy,2,8.836395220610417,True,62.98410335896072,True,5.877748876548422,False,5.262799033320547,True,0.9598707324224007,False,1.3802187093008564,False
40,643019,321.5095,healthy,2,7.77223439124616,True,43.87683118387153,True,6.301882484127944,False,7.699737712540958,True,0.7854388092013326,False,0.6991833785272423,False
41,650759,325.3795,healthy,2,10.527936084708145,True,8.771191739391186,True,7.988792419375288,False,11.289413090482665,True,0.8456394982039808,False,0.8325382961128005,False
42,653835,326.9175,healthy,2,9.211420450658942,True,17.841984596272976,True,5.400471234077766,False,5.9176008657203685,True,0.9532611867803924,False,1.006330847251091,False
43,712007,356.0035,healthy,2,49.04550500429755,True,7.393890497989715,True,5.753427565725357,False,7.798375533636262,True,1.0262978954169668,False,1.4863157553875253,False
44,716521,358.2605,healthy,2,60.71301154310784,True,138.4962445004804,True,11.019646264810934,False,5.727231781584289,True,1.0510068279936362,False,1.0563524242833413,False
45,719992,359.996,healthy,2,194.5994410707122,True,57.24676165358884,True,12.940777996860195,False,7.051469280348876,True,1.0634221408845623,False,1.123888203410912,False
46,723276,361.638,healthy,2,51.532870773169904,True,269.72236275365316,True,17.639358496392354,False,26.425424308351595,True,1.3075110577756865,False,1.3737506632305334,False
47,731438,365.719,healthy,2,63.66911424230172,True,9.242470667123131,True,10.585288887781246,False,4.780432307819931,True,1.2051914396406167,False,0.8170160981978002,False
48,735338,367.669,healthy,2,62.85308390479668,True,19.889762861706934,True,11.192147784764728,False,5.034669503410557,True,0.9340900780927066,False,0.576481237139264,False
49,737559,368.7795,healthy,2,10.740921345473161,True,173.7134672701947,True,7.69919555280938,False,8.498920144733464,True,1.0869700457864375,False,0.9800436172918399,False
