subject,muscle,condition,n_trials,peak_to_peak_amplitude_mean,peak_to_peak_amplitude_std,peak_amplitude_mean,peak_amplitude_std,onset_latency_mean,onset_latency_std,auc_mean,auc_std,mep_duration_mean,mep_duration_std,onset_time_mean,onset_time_std,offset_time_mean,offset_time_std,rise_time_mean,rise_time_std,fall_time_mean,fall_time_std,rise_fall_ratio_mean,rise_fall_ratio_std,num_peaks_mean,num_peaks_std,is_polyphasic_mean,is_polyphasic_std,zero_crossings_mean,zero_crossings_std,smoothness_mean,smoothness_std,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std
NHP1,Biceps,healthy,648,9.86421945245856,26.791373482190973,7.151067235167229,18.230329284805947,15.890432098765432,14.17080726295402,106.94308526216035,103.20078836852007,21.64891975308642,17.314299744642785,8.427643784786643,9.17115022680036,34.45454545454545,14.977376766386634,7.037105751391466,10.632965667865212,18.989795918367346,15.470333396077233,2.175855374356006,7.319487558326656,1.2345679012345678,2.3005763940795134,0.1882716049382716,0.3912308958997733,3.560185185185185,3.2830539505641627,0.567981122122209,1.814777465262596,0.05038276708737704,0.6328131353876508,-0.34683408842106167,1.3659152366073128
NHP1,Biceps,stroke,581,27.743954259741944,31.313563259039185,17.953630545591544,20.124677081724286,17.73063683304647,15.517681498100902,193.0153372444225,192.26860038380627,23.019793459552496,19.959205048402204,10.273955773955773,10.697728216453863,43.13513513513514,11.261017327496056,3.4434889434889433,7.448046698292871,29.417690417690416,18.025228121715504,1.5298574852693088,6.34743127264549,2.6712564543889843,3.201887908284923,0.4079173838209983,0.491871128402453,4.879518072289157,3.8127658222897858,1.035901775741398,1.0395921289700294,-0.4732011647057913,0.728471488952122,0.7704846282940828,1.6759249107790568
NHP1,Brach,healthy,473,15.869022209943521,26.539083622096747,10.920625065421307,16.57144413987174,16.6046511627907,13.627891527062935,129.44712150881705,118.71800145838839,23.08139534883721,18.396821545150967,8.694148936170214,8.618093699136265,37.73005319148936,14.181053124873923,6.3537234042553195,10.19391384271145,22.68218085106383,17.440127722139508,2.1997382965241368,7.309929731429329,1.9386892177589852,3.0032545860646316,0.2832980972515856,0.4510769950255578,5.739957716701903,4.092939041594479,0.806549808743653,1.4523852242178976,-0.2517338501361123,0.7330408677310254,0.24536112811244215,1.497808419775078
NHP1,Brach,stroke,1368,6.258247248375685,6.658463741953688,4.8237962057527835,4.73556564706507,26.15095029239766,14.776141794250258,90.67713226726558,66.81030782662613,13.628654970760234,16.477697829739817,15.613855421686747,12.8366836496116,38.07650602409639,12.973197380072808,9.96987951807229,11.688572821584794,12.492771084337349,13.354517297134045,3.581300320089852,9.456327158257825,0.43567251461988304,1.2847479554040213,0.06505847953216375,0.24671921217728313,3.771198830409357,3.39341688451303,0.32417524770550205,0.21284704416911668,-0.08291923274902091,0.5527984780984159,-0.390911647350062,0.9669831931320184
NHP1,APB,healthy,501,28.215940512292935,71.89358004814464,18.01886133761798,40.30995785597441,13.567864271457086,11.20952207855183,202.52969148735554,246.46771080858264,23.073852295409182,17.527137100226604,6.588785046728972,5.440464698136807,33.598130841121495,15.498649824451386,6.146028037383178,9.013926675778325,20.863317757009344,14.733562991621138,1.5070657096315916,7.166946407535704,2.1317365269461077,3.332658215065432,0.3033932135728543,0.4601830756056249,4.6706586826347305,4.34710448060194,1.691971133580023,4.699774250487335,-0.11125665473449552,0.7576524592535884,0.2152914516610531,2.2620197547927665
NHP1,APB,stroke,839,19.051145132431255,18.902588719368126,13.930208383810331,12.308720913870266,23.475566150178786,15.703557853032242,221.39030391891322,173.12050371245596,15.589392133492252,17.039624450674772,14.083180987202924,12.690270945727473,37.994515539305304,12.79988149174034,7.46526508226691,10.8293743149045,16.446069469835468,15.49182456315367,2.6305201012665256,7.22784838690454,0.6126340882002383,1.5022282886906952,0.10250297973778308,0.3034895376353487,4.702026221692491,3.949790265937715,1.121910661982585,1.0345921325124272,0.20361485292497455,0.6727630860176244,0.007048793459939766,1.7596873236173778
NHP2,Biceps,healthy,455,22.06804684790281,25.118438089320737,16.221728176811567,15.88210419440995,15.381318681318682,14.068358223441155,300.3508070860703,190.48925876680747,20.2021978021978,17.84927704962496,7.838068181818182,7.875684727860807,33.95170454545455,15.513221911205425,7.1335227272727275,10.909133165171118,18.980113636363637,15.703707874661037,1.8808973295646412,7.494974255364644,1.189010989010989,2.187139551144036,0.2043956043956044,0.4037031469008392,2.49010989010989,2.63394709526841,0.8640003643349711,1.0834244629654406,0.07228006839743885,0.6332047157510683,-0.534389786268212,0.9876400761914309
NHP2,Biceps,stroke,1216,1.1154065729167901,0.18293453045003466,0.6219924804316305,0.11690934882526927,27.46957236842105,13.400352374754851,9.057445246137583,1.3186287250778617,1.1488486842105263,5.127715250865352,25.49261992619926,13.260563258224714,30.64760147601476,12.90701731918058,3.103321033210332,8.144324770472156,2.0516605166051662,5.720909262348764,4.566995080852463,13.03807939553601,0.001644736842105263,0.057353933467640436,0.0,0.0,13.84703947368421,2.4664913755041655,0.1059451234261835,0.016634970842839145,-0.011799237228276548,0.3708955799711234,-0.23166528110920584,0.5701352184512858
NHP2,Brach,healthy,325,30.357023314443918,28.084096905668105,19.23721511266168,15.814493776679347,19.546153846153846,14.800244794053665,258.46754778599905,148.98872633772888,19.086153846153845,17.441267199359917,10.276470588235295,9.453524698571096,34.601960784313725,14.632149510232413,7.627450980392157,11.164677822422515,16.698039215686276,15.555494892064308,4.241880128221704,13.25048080282196,0.8276923076923077,1.5319143688301575,0.12307692307692308,0.329032077861883,8.03076923076923,4.747869017667492,2.136287891611559,2.207271875844106,0.015139699152441084,0.6808818829459903,0.41066597833826624,1.6230665342325112
NHP2,Brach,stroke,1332,13.414914149634383,19.647589762499674,8.571155030007322,11.649084519717375,26.808933933933933,14.156913491787822,127.31082946820595,168.5411950842475,7.668168168168168,13.353704926328565,19.73070987654321,13.864087399950732,35.49305555555556,13.239076086569108,7.070216049382716,10.622731973206315,8.69212962962963,12.339280830267572,4.70385511473103,11.869401097586659,0.18693693693693694,0.7879886723714065,0.028528528528528527,0.16653970702647986,7.393393393393393,3.7962635216310145,0.9289129372211331,1.2304857296329503,-0.023487649246511963,0.5286211903493541,-0.0038419620776016204,1.2788156724120878
