detection_idx,pulse_index,pulse_time_s,phase,detection_channel,ch130_amplitude,ch130_relevant,ch132_amplitude,ch132_relevant,ch135_amplitude,ch135_relevant,ch136_amplitude,ch136_relevant,ch137_amplitude,ch137_relevant,ch139_amplitude,ch139_relevant
0,304285,152.1425,healthy,-1,0.00024799692147988984,True,525.910095836532,True,519.9895048645335,True,6.73318417936517,False,559.0646047699063,False,47.19559524406874,False
1,615526,307.763,healthy,-1,30.616832699959645,True,232.1866857220738,True,213.9885743477398,True,4.602312166781358,False,185.0355341205057,False,5.02148674769612,False
2,624608,312.304,healthy,-1,0.06485754967371057,True,107.64345860920938,True,105.58466189752502,True,2.9028757485842647,False,93.77368886859465,False,2.9973468820180464,False
3,632800,316.4,healthy,-1,0.06485754967371057,True,6.602795607019168,True,14.83502821661778,True,3.2814576955937356,False,38.47612493131345,False,3.1982505143755704,False
4,642016,321.008,healthy,-1,0.06485754967371057,True,9.662436921198818,True,10.185580420091094,True,5.2192526909011105,False,46.06007988424335,False,2.746482421688489,False
5,656352,328.176,healthy,-1,0.06485754967371057,True,106.24344494937418,True,117.48374238018626,True,2.5513402719565796,False,166.76039803447748,False,2.361545363842745,False
6,677888,338.944,healthy,-1,0.061494703599266835,True,88.57289307756112,True,98.61910823975846,True,3.5077508863111904,False,72.79887935742835,False,2.7765585482944917,False
7,694046,347.023,healthy,-1,0.019904173391950282,True,216.4604230440924,True,230.71904064776623,True,2.818396580908491,False,213.69698209348854,False,3.010734074898642,False
8,960329,480.1645,healthy,-1,499.512848295554,True,5827.244431436294,True,5755.530623571924,True,85.60090684054045,False,5700.2634677224405,False,98.73809119171324,False
9,1034786,517.393,healthy,-1,960.0933100261964,True,6145.860578044183,True,6164.027662978313,True,89.93901664822083,False,6257.194402783198,False,107.06553995343876,False
10,1041788,520.894,healthy,-1,0.5215771440382518,True,358.2456161982819,True,357.44090855390147,True,4.1244559094904165,False,342.8699694340489,False,5.056306500402447,False
11,1049338,524.669,healthy,-1,643.9250575743396,True,6263.521468849555,True,6227.118033213083,True,89.96777792921428,False,6239.8192382459165,False,118.20116414833969,False
12,1078453,539.2265,healthy,-1,459.6100279923958,True,4442.584207725068,True,4476.505540305613,True,82.19220292627163,False,4629.345683670026,False,83.71232214482829,False
13,1089285,544.6425,healthy,-1,647.3621417720511,True,4772.7485751538225,True,4721.607295367891,True,83.46514335854539,False,4852.674449762417,False,86.04264868330861,False
14,1096301,548.1505,healthy,-1,5.291277783882187,True,319.4999673174278,True,334.28267467088614,True,5.45410253336456,False,390.36331924091627,False,3.1005946720742523,False
15,1239411,619.7055,healthy,-1,0.06582058152399892,True,95.14101013327834,True,102.52394147558007,True,3.4928583375754787,False,127.21543520649467,False,2.9573106454113858,False
16,1248627,624.3135,healthy,-1,0.06582058152400057,True,249.40521925442397,True,236.36261940877483,True,2.634553637994214,False,203.35376380191263,False,6.0937578175665,False
17,1258995,629.4975,healthy,-1,0.06582058152400057,True,246.1833581251895,True,234.5923024531259,True,4.72814249521494,False,273.8652827324661,False,3.982994365942269,False
18,1329086,664.543,healthy,-1,0.12808049250673606,True,125.45258921860052,True,101.48997132623018,True,3.2946776362874437,False,139.11745277616154,False,2.4163199021799318,False
19,1337246,668.623,healthy,-1,0.12808049250673606,True,141.84593121889995,True,175.08804790036805,True,3.4263150790607337,False,150.89036087890858,False,4.798718117038927,False
20,1350302,675.151,healthy,-1,0.12808049250673606,True,140.60482978935875,True,149.87739236204288,True,3.2181899137968517,False,147.49002155697536,False,2.3409284599658795,False
21,1357774,678.887,healthy,-1,0.12806520581986836,True,188.9396432078563,True,173.70949221053888,True,3.0467359689699247,False,178.11843712258025,False,3.335425761346044,False
22,1364990,682.495,healthy,-1,0.12808049250673606,True,159.48997380490852,True,190.9668088863025,True,4.024116206040688,False,118.97450137471017,False,3.6595013519585704,False
23,1378046,689.023,healthy,-1,0.12808049250673606,True,197.3686515128824,True,190.90932318518477,True,2.110554285035645,False,211.01885525746633,False,5.188538529166031,False
24,1437230,718.615,healthy,-1,0.015705526036119393,True,101.64351763940087,True,79.16043831885565,True,4.051197374835156,False,87.65309889849561,False,3.2919805783521507,False
25,1504002,752.001,healthy,-1,0.05468961352320813,True,562.4512566697003,True,557.6669821064379,True,2.6384378450447437,False,555.1856518236715,False,4.142573607212839,False
26,1744657,872.3285,healthy,-1,1022.0251010962426,True,5660.792980164357,True,5652.936065476666,True,319.19302386315,False,5851.878145126123,False,139.72310961186537,False
27,1760667,880.3335,healthy,-1,0.5961755757096858,True,423.2681590785578,True,424.14301765462375,True,2.7998686297471114,False,419.66903134821246,False,6.471004560093647,False
28,1769564,884.782,healthy,-1,726.7651515917845,True,5826.685451078208,True,5807.427115493041,True,719.1696732656208,False,5879.237782060938,False,143.20511554299605,False
29,1926521,963.2605,healthy,-1,2161.2624654299643,True,514.2580550117273,True,500.8760468766583,True,2.8890605140805325,False,494.53115862662924,False,4.101322225241447,False
30,1934225,967.1125,healthy,-1,1.966084812531132e-05,True,858.6982608959582,True,853.725545631499,True,9.478376517290615,False,853.7353434249644,False,17.585781409201537,False
31,2517353,1258.6765,stroke,-1,2320.906085469553,False,11848.094803053431,False,11763.664660450242,False,103.79381117778141,True,11802.274806773308,True,124.90512739070448,True
32,2532997,1266.4985,stroke,-1,1947.566177217615,False,10294.811141298254,False,10263.8894841722,False,96.95101753271271,True,10256.741124361852,True,114.75266775671211,True
